hidden_dim,readout,l1,lr,epochs,seeds,best_test_loss_mean,best_test_loss_std,best_test_acc_mean,best_test_acc_std,best_ep_mean
4,fc,0.0,0.005,15,"0,1,2",0.5762801567713419,0.032988026087556487,0.7202399687163199,0.012915277812289117,15.0
4,fc,1e-05,0.005,15,"0,1,2",0.5763101776440939,0.03305830676923186,0.7201922801796904,0.012981184074549684,15.0
4,fc,0.0001,0.005,15,"0,1,2",0.5767532785733541,0.03381715772593195,0.7199824506185203,0.012762746128631344,15.0
4,diag,0.0,0.005,15,"0,1,2",0.5862345695495605,0.021575668829180057,0.6969584251337664,0.030019774341057435,15.0
4,diag,1e-05,0.005,15,"0,1,2",0.5863771637280782,0.021559997852140838,0.6967390578652705,0.029731461666129833,15.0
4,diag,0.0001,0.005,15,"0,1,2",0.5875757137934366,0.02145456590888485,0.6946216868389176,0.029293553825679646,15.0
3,diag,0.0,0.005,15,"0,1,2",0.6171501477559408,0.0067172280859069495,0.6647114366648544,0.013670575943003405,14.666666666666666
3,diag,1e-05,0.005,15,"0,1,2",0.6183422207832336,0.00896296221040752,0.6646255972989213,0.013561804862274374,14.333333333333334
3,diag,0.0001,0.005,15,"0,1,2",0.6182199517885844,0.009562941790541308,0.6636909019809818,0.015791341544413685,14.333333333333334
3,fc,0.0001,0.005,15,"0,1,2",0.6261272629102071,0.02486400161272653,0.6534474043129512,0.03568258608304443,15.0
3,fc,1e-05,0.005,15,"0,1,2",0.6260967254638672,0.02479908879528052,0.6533043387030625,0.035455853241766144,15.0
3,fc,0.0,0.005,15,"0,1,2",0.6260976990063986,0.02479186864300559,0.653256650166433,0.0354092712062876,15.0
1,fc,0.0001,0.005,15,"0,1,2",0.6538118322690328,0.01319247455894904,0.6469045370873749,0.008950481535864824,13.333333333333334
1,fc,0.0,0.005,15,"0,1,2",0.6537890434265137,0.013170372116954305,0.6466374812822493,0.009344553846080988,13.333333333333334
1,fc,1e-05,0.005,15,"0,1,2",0.6537911295890808,0.013173107706019864,0.6465897927456198,0.009397367071591231,13.333333333333334
2,fc,0.0001,0.005,15,"0,1,2",0.6368257800738016,0.01673819994573441,0.6453212776712735,0.052793065862883466,15.0
2,fc,1e-05,0.005,15,"0,1,2",0.6368306080500284,0.016751194336166213,0.6446250250364817,0.05236577344262778,15.0
2,fc,0.0,0.005,15,"0,1,2",0.6368338863054911,0.016753603225684022,0.6445582610852004,0.05234754309115959,15.0
2,diag,0.0,0.005,15,"0,1,2",0.630923867225647,0.004648518586911036,0.6369948591757514,0.007396607331450874,15.0
2,diag,1e-05,0.005,15,"0,1,2",0.6310361623764038,0.0045002094862581984,0.6367087279559739,0.006899639710385924,15.0
2,diag,0.0001,0.005,15,"0,1,2",0.6314393877983093,0.004494326617326863,0.6367087279559739,0.006473419799180195,15.0
1,diag,0.0,0.005,15,"0,1,2",0.6564523975054423,0.009150623560507208,0.6167272311081863,0.0021897919669973077,12.666666666666666
1,diag,1e-05,0.005,15,"0,1,2",0.656486709912618,0.009118300291444179,0.6166127786202753,0.0023120039970260593,12.666666666666666
1,diag,0.0001,0.005,15,"0,1,2",0.6546909809112549,0.005850590980927878,0.6155731685217507,0.0034812109121559335,14.0
